Genre,URL
Science Fiction,https://www.goodreads.com/genres/science-fiction
Self Help,https://www.goodreads.com/genres/self-help
Sports,https://www.goodreads.com/genres/sports
Thriller,https://www.goodreads.com/genres/thriller
Travel,https://www.goodreads.com/genres/travel
Young Adult,https://www.goodreads.com/genres/young-adult
Art,https://www.goodreads.com/genres/art
Biography,https://www.goodreads.com/genres/biography
Business,https://www.goodreads.com/genres/business
Children's,https://www.goodreads.com/genres/children-s
Christian,https://www.goodreads.com/genres/christian
Classics,https://www.goodreads.com/genres/classics
Comics,https://www.goodreads.com/genres/comics
Cookbooks,https://www.goodreads.com/genres/cookbooks
Ebooks,https://www.goodreads.com/genres/ebooks
Fantasy,https://www.goodreads.com/genres/fantasy
Fiction,https://www.goodreads.com/genres/fiction
Graphic Novels,https://www.goodreads.com/genres/graphic-novels
Historical Fiction,https://www.goodreads.com/genres/historical-fiction
History,https://www.goodreads.com/genres/history
Horror,https://www.goodreads.com/genres/horror
Memoir,https://www.goodreads.com/genres/memoir
Music,https://www.goodreads.com/genres/music
Mystery,https://www.goodreads.com/genres/mystery
Nonfiction,https://www.goodreads.com/genres/non-fiction
Poetry,https://www.goodreads.com/genres/poetry
Psychology,https://www.goodreads.com/genres/psychology
Romance,https://www.goodreads.com/genres/romance
Science,https://www.goodreads.com/genres/science
Science Fiction,https://www.goodreads.com/genres/science-fiction
Self Help,https://www.goodreads.com/genres/self-help
Sports,https://www.goodreads.com/genres/sports
Thriller,https://www.goodreads.com/genres/thriller
Travel,https://www.goodreads.com/genres/travel
Young Adult,https://www.goodreads.com/genres/young-adult
summer-reads,https://www.goodreads.com/genres/summer-reads
summer-romance,https://www.goodreads.com/genres/summer-romance
sunshine-grumpy,https://www.goodreads.com/genres/sunshine-grumpy
surprise-pregnancy,https://www.goodreads.com/genres/surprise-pregnancy
surreal,https://www.goodreads.com/genres/surreal
teaching,https://www.goodreads.com/genres/teaching
textbooks,https://www.goodreads.com/genres/textbooks
thanksgiving,https://www.goodreads.com/genres/thanksgiving
the-americas,https://www.goodreads.com/genres/the-americas
the-united-states-of-america,https://www.goodreads.com/genres/the-united-states-of-america
translated-fiction,https://www.goodreads.com/genres/translated-fiction
transport,https://www.goodreads.com/genres/transport
tsars,https://www.goodreads.com/genres/tsars
unfinished,https://www.goodreads.com/genres/unfinished
united-states,https://www.goodreads.com/genres/united-states
urban,https://www.goodreads.com/genres/urban
vacation-reads,https://www.goodreads.com/genres/vacation-reads
vampire-romance,https://www.goodreads.com/genres/vampire-romance
war,https://www.goodreads.com/genres/war
wholesome,https://www.goodreads.com/genres/wholesome
why-choose,https://www.goodreads.com/genres/why-choose
wildlife,https://www.goodreads.com/genres/wildlife
witchcraft,https://www.goodreads.com/genres/witchcraft
women-and-gender-studies,https://www.goodreads.com/genres/women-and-gender-studies
womens,https://www.goodreads.com/genres/womens
workplace-romance,https://www.goodreads.com/genres/workplace-romance
world-literature,https://www.goodreads.com/genres/world-literature
wwii-related-fiction,https://www.goodreads.com/genres/wwii-related-fiction
ya-horror,https://www.goodreads.com/genres/ya-horror
young-adult-horror,https://www.goodreads.com/genres/young-adult-horror
ᛋᛋ-books,https://www.goodreads.com/genres/%E1%9B%8B%E1%9B%8B-books
« previous,https://www.goodreads.com/genres/list?filter=top-level&page=2&utf8=%E2%9C%93
1,https://www.goodreads.com/genres/list?filter=top-level&page=1&utf8=%E2%9C%93
2,https://www.goodreads.com/genres/list?filter=top-level&page=2&utf8=%E2%9C%93
