folder_name,path,count
Robert J. Crane,D:\Novels Library\Final_all_books\Robert J. Crane,26
T. C. Edge,D:\Novels Library\Final_all_books\T. C. Edge,26
Bonnie Lamer,D:\Novels Library\Final_all_books\Bonnie Lamer,25
D. K. Holmberg,D:\Novels Library\Final_all_books\D. K. Holmberg,25
David Eddings,D:\Novels Library\Final_all_books\David Eddings,25
Debra Kayn,D:\Novels Library\Final_all_books\Debra Kayn,25
Kimbra Swain,D:\Novels Library\Final_all_books\Kimbra Swain,25
Robert Kroese,D:\Novels Library\Final_all_books\Robert Kroese,25
Thea Harrison,D:\Novels Library\Final_all_books\Thea Harrison,25
Addison Moore,D:\Novels Library\Final_all_books\Addison Moore,24
Ava Richardson,D:\Novels Library\Final_all_books\Ava Richardson,24
Bonnie Vanak,D:\Novels Library\Final_all_books\Bonnie Vanak,24
Chantelle Shaw,D:\Novels Library\Final_all_books\Chantelle Shaw,24
Edward W. Robertson,D:\Novels Library\Final_all_books\Edward W. Robertson,24
Janice Kay Johnson,D:\Novels Library\Final_all_books\Janice Kay Johnson,24
Judy Duarte,D:\Novels Library\Final_all_books\Judy Duarte,24
Michele Bardsley,D:\Novels Library\Final_all_books\Michele Bardsley,24
Natalie Anderson,D:\Novels Library\Final_all_books\Natalie Anderson,24
Quinn Loftis,D:\Novels Library\Final_all_books\Quinn Loftis,24
Rachel van Dyken,D:\Novels Library\Final_all_books\Rachel van Dyken,24
Ripley Proserpina,D:\Novels Library\Final_all_books\Ripley Proserpina,24
Robert Jordan,D:\Novels Library\Final_all_books\Robert Jordan,24
Tahereh Mafi,D:\Novels Library\Final_all_books\Tahereh Mafi,24
Violet Winspear,D:\Novels Library\Final_all_books\Violet Winspear,24
Wild Cards Trust,D:\Novels Library\Final_all_books\Wild Cards Trust,24
Yasmine Galenorn,D:\Novels Library\Final_all_books\Yasmine Galenorn,24
Alaric Longward,D:\Novels Library\Final_all_books\Alaric Longward,23
B.T. Narro,D:\Novels Library\Final_all_books\B.T. Narro,23
Betty Neels,D:\Novels Library\Final_all_books\Betty Neels,23
Catherine Fisher,D:\Novels Library\Final_all_books\Catherine Fisher,23
Dannika Dark,D:\Novels Library\Final_all_books\Dannika Dark,23
Elie Wiesel,D:\Novels Library\Final_all_books\Elie Wiesel,23
Eva Chase,D:\Novels Library\Final_all_books\Eva Chase,23
Jessie Donovan,D:\Novels Library\Final_all_books\Jessie Donovan,23
Jo Leigh,D:\Novels Library\Final_all_books\Jo Leigh,23
Linda Fairstein,D:\Novels Library\Final_all_books\Linda Fairstein,23
Sandra Marton,D:\Novels Library\Final_all_books\Sandra Marton,23
Sara C. Roethle,D:\Novels Library\Final_all_books\Sara C. Roethle,23
Scarlett Haven,D:\Novels Library\Final_all_books\Scarlett Haven,23
Serena Akeroyd,D:\Novels Library\Final_all_books\Serena Akeroyd,23
Steven Erikson,D:\Novels Library\Final_all_books\Steven Erikson,23
Trina M. Lee,D:\Novels Library\Final_all_books\Trina M. Lee,23
Vivienne Savage,D:\Novels Library\Final_all_books\Vivienne Savage,23
Alex Scarrow,D:\Novels Library\Final_all_books\Alex Scarrow,22
Alyson Noel,D:\Novels Library\Final_all_books\Alyson Noel,22
Amanda M. Lee,D:\Novels Library\Final_all_books\Amanda M. Lee,22
Bailey Bradford,D:\Novels Library\Final_all_books\Bailey Bradford,22
Beth Cornelison,D:\Novels Library\Final_all_books\Beth Cornelison,22
C.J. Archer,D:\Novels Library\Final_all_books\C.J. Archer,22
Christine Pope,D:\Novels Library\Final_all_books\Christine Pope,22
Dani Collins,D:\Novels Library\Final_all_books\Dani Collins,22
Elizabeth Rolls,D:\Novels Library\Final_all_books\Elizabeth Rolls,22
G. Bailey,D:\Novels Library\Final_all_books\G. Bailey,22
Griff Hosker,D:\Novels Library\Final_all_books\Griff Hosker,22
Jennifer Estep,D:\Novels Library\Final_all_books\Jennifer Estep,22
Jennifer Snow,D:\Novels Library\Final_all_books\Jennifer Snow,22
Jim Butcher,D:\Novels Library\Final_all_books\Jim Butcher,22
Joanne Rock,D:\Novels Library\Final_all_books\Joanne Rock,22
Julie Trettel,D:\Novels Library\Final_all_books\Julie Trettel,22
Justine Davis,D:\Novels Library\Final_all_books\Justine Davis,22
Lotta Smith,D:\Novels Library\Final_all_books\Lotta Smith,22
Melanie Karsak,D:\Novels Library\Final_all_books\Melanie Karsak,22
Myles Munroe,D:\Novels Library\Final_all_books\Myles Munroe,22
Renee Rose,D:\Novels Library\Final_all_books\Renee Rose,22
Sarah Noffke,D:\Novels Library\Final_all_books\Sarah Noffke,22
Diana Gabaldon,D:\Novels Library\Final_all_books\Diana Gabaldon,21
Emily McKay,D:\Novels Library\Final_all_books\Emily McKay,21
Eva Shepherd,D:\Novels Library\Final_all_books\Eva Shepherd,21
Helen Brooks,D:\Novels Library\Final_all_books\Helen Brooks,21
Jayci Lee,D:\Novels Library\Final_all_books\Jayci Lee,21
Kallysten,D:\Novels Library\Final_all_books\Kallysten,21
Katherine Garbera,D:\Novels Library\Final_all_books\Katherine Garbera,21
M. L. Bullock,D:\Novels Library\Final_all_books\M. L. Bullock,21
Marshall Thornton,D:\Novels Library\Final_all_books\Marshall Thornton,21
Max Hudson,D:\Novels Library\Final_all_books\Max Hudson,21
Parnell Hall,D:\Novels Library\Final_all_books\Parnell Hall,21
"Patterson, James","D:\Novels Library\Final_all_books\Patterson, James",21
Paulo Coelho,D:\Novels Library\Final_all_books\Paulo Coelho,21
Pippa Dacosta,D:\Novels Library\Final_all_books\Pippa Dacosta,21
Teyla Branton,D:\Novels Library\Final_all_books\Teyla Branton,21
Anne Rice,D:\Novels Library\Final_all_books\Anne Rice,20
"Christie, Agatha","D:\Novels Library\Final_all_books\Christie, Agatha",20
Erin R. Flynn,D:\Novels Library\Final_all_books\Erin R. Flynn,20
Felicity Heaton,D:\Novels Library\Final_all_books\Felicity Heaton,20
Irving Wallace,D:\Novels Library\Final_all_books\Irving Wallace,20
Ivy Barrett,D:\Novels Library\Final_all_books\Ivy Barrett,20
Jessica Steele,D:\Novels Library\Final_all_books\Jessica Steele,20
Karin Slaughter,D:\Novels Library\Final_all_books\Karin Slaughter,20
Michael Anderle,D:\Novels Library\Final_all_books\Michael Anderle,20
Patricia Cornwell,D:\Novels Library\Final_all_books\Patricia Cornwell,20
Pittacus Lore,D:\Novels Library\Final_all_books\Pittacus Lore,20
Rachel Morgan,D:\Novels Library\Final_all_books\Rachel Morgan,20
Shandi Boyes,D:\Novels Library\Final_all_books\Shandi Boyes,20
Shay Roberts,D:\Novels Library\Final_all_books\Shay Roberts,20
Vella Day,D:\Novels Library\Final_all_books\Vella Day,20
Amy Vastine,D:\Novels Library\Final_all_books\Amy Vastine,19
C. M. Stunich,D:\Novels Library\Final_all_books\C. M. Stunich,19
Cassandra Lawson,D:\Novels Library\Final_all_books\Cassandra Lawson,19
D. B. Reynolds,D:\Novels Library\Final_all_books\D. B. Reynolds,19
Dakota Cassidy,D:\Novels Library\Final_all_books\Dakota Cassidy,19
Eastern Sword,D:\Novels Library\Final_all_books\Eastern Sword,19
Elle Kennedy,D:\Novels Library\Final_all_books\Elle Kennedy,19
Emilie Rose,D:\Novels Library\Final_all_books\Emilie Rose,19
Jacqueline Baird,D:\Novels Library\Final_all_books\Jacqueline Baird,19
JULES BENNETT,D:\Novels Library\Final_all_books\JULES BENNETT,19
Julia James,D:\Novels Library\Final_all_books\Julia James,19
Kathryn Le Veque,D:\Novels Library\Final_all_books\Kathryn Le Veque,19
Lia Davis,D:\Novels Library\Final_all_books\Lia Davis,19
